                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0823,                 2.7051,                 2.0572,                0.51543,                0.33664,                0.36842,                0.13239,                 2.0467,                 2.3589,                 2.0983,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.0791,                 2.7123,                 2.0677,                0.48871,                0.30456,                0.34374,                0.12616,                 2.0283,                 2.3663,                 2.1299,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.0798,                 2.7049,                 2.0742,                0.52803,                   0.32,                0.35759,                0.13706,                 2.0144,                 2.3443,                 2.1346,               0.000614,               0.000614,               0.000614
                     37,                 2.0825,                 2.6994,                  2.076,                0.52594,                 0.3193,                0.35553,                0.12754,                 2.0918,                 2.3765,                 2.1321,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.0627,                 2.6929,                 2.0568,                0.53591,                0.36561,                0.38044,                0.14233,                 2.0106,                  2.318,                 2.1213,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.0635,                 2.6861,                 2.0425,                0.49683,                0.33333,                0.35993,                0.13401,                 2.0345,                 2.3476,                 2.1393,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.0696,                 2.6928,                 2.0496,                0.53203,                0.35742,                0.37888,                0.14259,                 2.0136,                 2.3071,                 2.1046,              0.0004556,              0.0004556,              0.0004556
                     41,                 2.2201,                 2.8044,                 2.2496,                0.49429,                0.27298,                  0.335,                0.12368,                 2.0274,                  2.374,                 2.1416,               0.000416,               0.000416,               0.000416
                     42,                 2.1949,                 2.7711,                 2.2683,                0.48658,                0.33825,                0.35842,                0.12617,                 2.0417,                 2.3535,                 2.1473,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.1827,                 2.7653,                 2.2582,                0.47613,                0.31719,                0.33856,                0.12111,                 2.0192,                 2.3782,                 2.1421,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.1689,                 2.7556,                  2.253,                0.50663,                0.36607,                0.37238,                0.13713,                 1.9892,                 2.3236,                 2.0969,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.1631,                 2.7315,                 2.2242,                0.51075,                0.38035,                 0.3895,                0.13961,                 2.0126,                 2.2945,                 2.0832,              0.0002576,              0.0002576,              0.0002576
                     46,                 2.1692,                 2.7373,                 2.2351,                0.47571,                0.36612,                0.37907,                 0.1405,                   2.01,                  2.303,                 2.0756,               0.000218,               0.000218,               0.000218
                     47,                 2.1612,                 2.7262,                 2.2168,                0.48732,                0.33965,                0.36905,                0.13532,                 2.0153,                 2.2958,                  2.077,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.1566,                 2.7102,                 2.2139,                0.49193,                0.37234,                0.37875,                0.13918,                 2.0222,                    2.3,                 2.0623,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.1522,                 2.7074,                 2.2056,                0.49534,                0.36574,                0.37911,                 0.1397,                 2.0061,                 2.2969,                 2.0782,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 2.1459,                 2.7178,                 2.2071,                 0.4949,                0.37404,                0.37972,                0.13979,                 2.0093,                 2.2972,                 2.0718,               5.96e-05,               5.96e-05,               5.96e-05
